Marketplace,J,U,P,PD,OM,EOU,TR,PR,SO,MS,PC,PL,RV,RS,IQ,TC,EN,OR,TY
TOKOPEDIA,1,2,3,4,1,5,4,2.67,4,4,5,4.5,5,4,3.5,4.5,3,3.2,4
TOKOPEDIA,1,4,1,5,2,4,3.5,4.67,4.67,3.33,4.5,4.13,5,3,3.5,3.5,3.75,3.4,4
TOKOPEDIA,1,2,2,5,3,4,3.5,4,4.67,3.33,4.5,4.13,5,3,3.5,3.5,3.75,3.4,4
SHOPEE,2,2,3,2,2,4,3,4,4,4,3.75,4,4,4,4,4,4,4,4
SHOPEE,2,2,1,2,1,4,4,4,4,4,4,4,4,4,4,3.5,3.5,2.8,4
SHOPEE,2,1,1,4,1,4,3.75,4,4,4,4.5,4.38,5,3,4.5,3.5,3.75,2.8,3.5
SHOPEE,2,2,1,1,2,4,3.75,4.67,3.33,4,4,3.75,4,4,4,3.5,3.5,3.4,4
SHOPEE,2,4,3,4,1,4,4,3,4,3,3,4,3,5,4.5,3,3.5,3.8,3.5
SHOPEE,2,2,3,1,2,4,3.75,4,4,4,5,4.38,5,4,4,3.5,4,3.2,3
SHOPEE,2,1,3,1,1,4,4.75,4,4.67,4.33,4.25,4.38,5,4,4,4.5,4.5,3.4,3.5
SHOPEE,2,3,1,2,1,5,5,5,5,4.67,4.75,4.88,5,5,4.5,5,4.25,4.4,4.5
SHOPEE,1,1,1,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4
SHOPEE,1,2,1,1,1,4,5,4,4,4,4.25,4.63,4,4,4,4,4,3.8,4
SHOPEE,1,1,1,4,1,4,4,3.67,4,3,3.75,4,4,5,4,4,4,4.2,4
TOKOPEDIA,2,2,1,4,1,4,4,4,4.33,4.33,4,4,5,4,3.5,4.5,4,4,3.5
SHOPEE,1,2,3,1,1,4,3.75,3.33,3.33,4.67,4.5,4.38,4,2,4,4,3.5,4,2.5
SHOPEE,1,2,1,1,1,4,3.5,4,4,4.33,3.75,4,4,4,3.5,3,3.5,3,3
